Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
669;0.0413757692229846;0.0620757947776184;0.140221713095898;0.101967102867183;0.106668018154312;0.53397;0.49888;0;0;53358;3604.27;6682;0;1486.4;0;6682;1486.4;46676;2117.87
670;0.0290066174833526;0.0615864550932568;0.166923160042315;0.115725850571041;0.12596476434307;0.56116;0.50812;0;0;49319;3238.12;6902;0;1561.1;0;6902;1561.1;42417;1677.02
671;0.0205937134414152;0.0613733120229555;0.187950070525414;0.134352402763358;0.152382215757012;0.57638;0.52395;0;0;45560;2995.13;7072;0;1525.5;0;7072;1525.5;38488;1469.63
672;0.0140823241645921;0.0580277096126255;0.201645410071701;0.153281749460906;0.177075511462819;0.57385;0.5462;0;0;43893;2883.24;7266;0;1568.1;0;7266;1568.1;36627;1315.14
673;0.00930671463557795;0.0517321193687231;0.209370628179941;0.167145956792588;0.199890431746771;0.54694;0.57435;0;0;42973;2852.71;7169;0;1781.1;0;7169;1781.1;35804;1071.61
674;0.00574691035683203;0.046118700143472;0.204431555018219;0.174598534861433;0.212863173513325;0.49575;0.60085;0;0;43874;2855.5;7122;0;1510.7;0;7122;1510.7;36752;1344.8
675;0.00287514097192705;0.0409596976757532;0.188441320672342;0.176325171312196;0.223330745956011;0.4354;0.59714;0;0;45627;2936.22;7090;0;1500.8;0;7090;1500.8;38537;1435.42
676;0.00143191976845386;0.0402468948063128;0.162772339898914;0.167375401725102;0.20710246363319;0.40473;0.55758;0;0;48664;3132.03;7219;5;1369.5;0.62;7224;1370.12;41440;1761.91
677;0.00265810371000061;0.0487785904160689;0.141916817490303;0.151287861991854;0.186894405911789;0.41286;0.50248;0;0.0149600304480209;55222;3663.18;7160;724;1172.1;17.72;7884;1189.82;47338;2473.36
678;0.00477801222498836;0.0571220196269727;0.117663880106796;0.132154284801533;0.16474681834051;0.45445;0.44352;0.0312909034106997;0.0440486472379295;60013;4246.05;5951;4156;1220;74.64;10107;1294.64;49906;2951.41
679;0.00259642075009614;0.0429438228981349;0.105395709300959;0.129915983946969;0.155123362038869;0.5229;0.42564;0.16500478860276;0.20630600260983;62120;4469.51;4459;9540;1367.2;169.94;13999;1537.14;48121;2932.37
680;0.00521777238043192;0.0603422342611191;0.135840802579215;0.144947495807044;0.155544394274409;0.60705;0.47423;0.347779719883201;0.373096137451066;63083;4496.13;4616;15148;1578.8;250.91;19764;1829.71;43319;2666.42
681;0.0102645479385512;0.119716987431851;0.177606216244354;0.168713377525757;0.160413605260095;0.6431;0.56335;0.4764458544016;0.491379560678556;64558;4557.56;5595;19791;1745.5;311.18;25386;2056.68;39172;2500.88
682;0.0112672196247495;0.13334078312769;0.199516879183249;0.185399734046801;0.167708010008146;0.65545;0.62698;0.559398940727414;0.550550347977382;65915;4526.68;6403;22604;1817;342.59;29007;2159.59;36908;2367.09
683;0.0145610866881211;0.12595742553802;0.206257130186557;0.201319455315071;0.172273167694635;0.65453;0.65651;0.592672889045623;0.557304393214441;64967;4435.65;6304;23208;2181.7;339.5;29512;2521.2;35455;1914.45
684;0.0208945564393709;0.118015399598278;0.202589146642487;0.214876790591806;0.184457237286163;0.64474;0.65674;0.600244515056113;0.545772488038278;64163;4432.01;5935;22863;2306.6;325.49;28798;2632.09;35365;1799.92
685;0.026633215941061;0.112232861865136;0.189478085503669;0.21277458349972;0.206321308041429;0.62483;0.64896;0.573202993590077;0.522382653327534;62876;4368.03;5689;21424;2071.3;319.43;27113;2390.73;35763;1977.3
686;0.0305463238002712;0.108619316040172;0.179100122747804;0.202253742911908;0.225617431630397;0.60574;0.64064;0.506346050994047;0.501864475859069;61621;4214.45;5562;18474;2032.2;296.4;24036;2328.6;37585;1885.85
687;0.0313321644706216;0.102503784332855;0.169262502577536;0.187124960865746;0.235780776213197;0.58538;0.62634;0.408429989457026;0.407024736842105;60009;4134.14;5570;14564;2018.2;231.58;20134;2249.78;39875;1884.36
688;0.032971383204809;0.0886479973601148;0.143034764965661;0.15258862750579;0.240387566623996;0.56278;0.58644;0.278424655780308;0.284394754240974;59149;4373.5;5516;9562;1891.2;170.16;15078;2061.36;44071;2312.14
