Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1749;0.320865268484223;0.646861518852224;0.34783931922825;0.0712845479594282;0.0291343279413476;0.43607;0.2029;0;0;53271;3795.89;18573;0;810.7;0;18573;810.7;34698;2985.19
1750;0.370584404031817;0.676725050789096;0.423272236595973;0.0741024562734606;0.0187287129058536;0.3306;0.18481;0;0;52403;3503.13;20174;0;564.4;0;20174;564.4;32229;2938.73
1751;0.401719910943793;0.720077970846485;0.517038597350259;0.0750405287117642;0.0139628581403468;0.30242;0.13416;0;0;49003;3372.3;22505;0;512.8;0;22505;512.8;26498;2859.5
1752;0.421714007529297;0.781330277876614;0.601000843248871;0.0670361995846977;0.00748542301873618;0.57159;0.14056;0;0;45887;3084.5;24417;0;563.6;0;24417;563.6;21470;2520.9
1753;0.439937797073289;0.838316913859397;0.67754985646399;0.0543467826052232;0.00194396951006633;0.65091;0.2848;0;0;43765;2942.57;25333;0;617.9;0;25333;617.9;18432;2324.67
1754;0.455500240856559;0.847063926312769;0.741988490353131;0.0497762714639406;0.000256627487489817;0.69337;0.34611;0;0;42441;2843.03;25736;0;704.5;0;25736;704.5;16705;2138.53
1755;0.472098856639747;0.855727101865136;0.784059473275905;0.0473082293746506;0.00108536948679157;0.68653;0.32168;0;0;42052;2813.77;25901;0;843.5;0;25901;843.5;16151;1970.27
1756;0.488999669682434;0.859830268235294;0.795384240625997;0.0585418377126428;0.0102328046084022;0.6657;0.33357;0;0;42421;2830.79;25655;0;941.9;0;25655;941.9;16766;1888.89
1757;0.501768992855263;0.897051375609756;0.769509325743455;0.0896119195751138;0.0415270778540673;0.61034;0.42329;0;0;42216;2917.6;24228;0;1096.2;0;24228;1096.2;17988;1821.4
1758;0.492772158196207;0.723798015150646;0.700001634577603;0.099639845858957;0.0793612917490981;0.55338;0.57911;0;0;41891;3083.07;21760;0;1484.9;0;21760;1484.9;20131;1598.17
1759;0.462362905863542;0.554345412223816;0.61362068201434;0.0960172745787078;0.108384174327941;0.49388;0.63019;0;0;43871;3344.99;18596;0;1561.9;0;18596;1561.9;25275;1783.09
1760;0.403545549820876;0.424379042754663;0.521467895958222;0.094529003673828;0.122976459909228;0.40746;0.60895;0.0126708843440858;0;46878;3610.81;16512;342;1435.2;0.93;16854;1436.13;30024;2174.68
1761;0.324342931568401;0.323567322467719;0.431090306046715;0.103256810158933;0.125503033864774;0.3008;0.54531;0.0448374179736857;0.0163235058721183;50702;3835.95;14753;1769;1213.8;27.39;16522;1241.19;34180;2594.76
1762;0.251126947598518;0.263651450789096;0.345105096334358;0.11956193954157;0.118093038519725;0.21756;0.47863;0.0835711782450374;0.187270517616355;52895;3911.45;13686;3178;1102.7;99;16864;1201.7;36031;2709.75
1763;0.183639358188111;0.230289745423242;0.28145274716639;0.146513349173389;0.108991437216339;0.16678;0.46481;0.125575674922281;0.315730539364941;55601;3928.83;12872;4563;1062.2;155.17;17435;1217.37;38166;2711.46
1764;0.135975661141134;0.219005277819225;0.229480699780028;0.172942277374012;0.103291617595717;0.13821;0.48156;0.149475229132264;0.334460785123967;54903;3892.48;10663;5251;1181.3;163.82;15914;1345.12;38989;2547.36
1765;0.096089368105734;0.159663547317073;0.187334087283596;0.187663821979075;0.0924943628534854;0.13794;0.50724;0.146178738896405;0.262028038277512;52888;3857.44;9238;4456;1082.4;128.69;13694;1211.09;39194;2646.35
1766;0.0598193757969518;0.0969713367001435;0.162282637348244;0.18729200343423;0.0784640148958455;0.1357;0.49952;0.112724513768422;0.167656850804698;51467;3873.93;7348;2811;1004.1;55.74;10159;1059.84;41308;2814.09
1767;0.0353042374562309;0.0584583180487805;0.138540856950951;0.16751855003594;0.062418454556034;0.12117;0.45138;0.0570704872083214;0.0109106742061766;51143;3981.72;5710;882;830.4;8.15;6592;838.55;44551;3143.17
1768;0.0182447677454612;0.0376287553515065;0.117991539939214;0.134805563054069;0.0459937169789363;0.09543;0.38227;0.00620667302220463;0;53375;4383.4;4756;35;668.8;0.03;4791;668.83;48584;3714.57
1769;0.00740450260084603;0.0207711555810617;0.0949345183282118;0.0961811732289753;0.0274470708716397;0.06977;0.29956;0;0;56455;4761.56;4464;0;477.3;0.02;4464;477.32;51991;4284.24
1770;0.0025150235796547;0.00998467845050215;0.073369767601968;0.0604425097835636;0.0147554858605842;0.04173;0.20673;0;0;57244;4698.53;4191;0;316.4;0;4191;316.4;53053;4382.13
1771;0.000849060052219321;0.00486761457675753;0.0519362173190267;0.0329910753933392;0.00730701850343303;0.02741;0.13021;0;0;56256;4459.37;3779;0;202.8;0;3779;202.8;52477;4256.57
