"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"08.12.2017 08:45 - 08.12.2017 09:00","12312","12008"
"08.12.2017 09:00 - 08.12.2017 09:15","12252","12052"
"08.12.2017 09:15 - 08.12.2017 09:30","12236","12088"
"08.12.2017 09:30 - 08.12.2017 09:45","12277","12160"
"08.12.2017 09:45 - 08.12.2017 10:00","12317","11974"
"08.12.2017 10:00 - 08.12.2017 10:15","12213","11967"
"08.12.2017 10:15 - 08.12.2017 10:30","12207","11905"
"08.12.2017 10:30 - 08.12.2017 10:45","12208","11984"
"08.12.2017 10:45 - 08.12.2017 11:00","12228","11940"
"08.12.2017 11:00 - 08.12.2017 11:15","12178","11931"
"08.12.2017 11:15 - 08.12.2017 11:30","12197","11972"
"08.12.2017 11:30 - 08.12.2017 11:45","12237","11912"
"08.12.2017 11:45 - 08.12.2017 12:00","12223","11831"
"08.12.2017 12:00 - 08.12.2017 12:15","12002","11606"
"08.12.2017 12:15 - 08.12.2017 12:30","11899","11503"
"08.12.2017 12:30 - 08.12.2017 12:45","11888","11504"
"08.12.2017 12:45 - 08.12.2017 13:00","11919","11604"
"08.12.2017 13:00 - 08.12.2017 13:15","11887","11568"
"08.12.2017 13:15 - 08.12.2017 13:30","11900","11662"
"08.12.2017 13:30 - 08.12.2017 13:45","11924","11670"
"08.12.2017 13:45 - 08.12.2017 14:00","11869","11493"
"08.12.2017 14:00 - 08.12.2017 14:15","11784","11536"
"08.12.2017 14:15 - 08.12.2017 14:30","11770","11577"
"08.12.2017 14:30 - 08.12.2017 14:45","11761","11569"
"08.12.2017 14:45 - 08.12.2017 15:00","11732","11563"
"08.12.2017 15:00 - 08.12.2017 15:15","11762","11539"
"08.12.2017 15:15 - 08.12.2017 15:30","11767","11564"
"08.12.2017 15:30 - 08.12.2017 15:45","11786","11660"
"08.12.2017 15:45 - 08.12.2017 16:00","11798","11616"
"08.12.2017 16:00 - 08.12.2017 16:15","11746","11636"
"08.12.2017 16:15 - 08.12.2017 16:30","11865","11756"
"08.12.2017 16:30 - 08.12.2017 16:45","11891","11904"
"08.12.2017 16:45 - 08.12.2017 17:00","12108","12129"
"08.12.2017 17:00 - 08.12.2017 17:15","12307","12393"
"08.12.2017 17:15 - 08.12.2017 17:30","12468","12410"
"08.12.2017 17:30 - 08.12.2017 17:45","12562","12468"
"08.12.2017 17:45 - 08.12.2017 18:00","12539","12539"
"08.12.2017 18:00 - 08.12.2017 18:15","12503","12380"
"08.12.2017 18:15 - 08.12.2017 18:30","12410","12295"
"08.12.2017 18:30 - 08.12.2017 18:45","12343","12164"
"08.12.2017 18:45 - 08.12.2017 19:00","12265","11906"
"08.12.2017 19:00 - 08.12.2017 19:15","12072","11894"
"08.12.2017 19:15 - 08.12.2017 19:30","11944","11646"
"08.12.2017 19:30 - 08.12.2017 19:45","11803","11564"
"08.12.2017 19:45 - 08.12.2017 20:00","11655","11420"
"08.12.2017 20:00 - 08.12.2017 20:15","11585","11427"
"08.12.2017 20:15 - 08.12.2017 20:30","11371","11298"
"08.12.2017 20:30 - 08.12.2017 20:45","11280","11131"
"08.12.2017 20:45 - 08.12.2017 21:00","11101","10950"
"08.12.2017 21:00 - 08.12.2017 21:15","11002","10775"
"08.12.2017 21:15 - 08.12.2017 21:30","10890","10755"
"08.12.2017 21:30 - 08.12.2017 21:45","10746","10678"
"08.12.2017 21:45 - 08.12.2017 22:00","10586","10610"
"08.12.2017 22:00 - 08.12.2017 22:15","10835","10642"
"08.12.2017 22:15 - 08.12.2017 22:30","10987","10873"
"08.12.2017 22:30 - 08.12.2017 22:45","10978","11002"
"08.12.2017 22:45 - 08.12.2017 23:00","10869","10879"
"08.12.2017 23:00 - 08.12.2017 23:15","11032","11090"
"08.12.2017 23:15 - 08.12.2017 23:30","10985","10923"
"08.12.2017 23:30 - 08.12.2017 23:45","10785","10781"
"08.12.2017 23:45 - 09.12.2017 00:00","10581","10585"
"09.12.2017 00:00 - 09.12.2017 00:15","10203","10535"
"09.12.2017 00:15 - 09.12.2017 00:30","10070","10347"
"09.12.2017 00:30 - 09.12.2017 00:45","9960","10328"
"09.12.2017 00:45 - 09.12.2017 01:00","9817","10121"
"09.12.2017 01:00 - 09.12.2017 01:15","9673","10155"
"09.12.2017 01:15 - 09.12.2017 01:30","9493","9941"
"09.12.2017 01:30 - 09.12.2017 01:45","9354","9740"
"09.12.2017 01:45 - 09.12.2017 02:00","9218","9636"
"09.12.2017 02:00 - 09.12.2017 02:15","9128","9598"
"09.12.2017 02:15 - 09.12.2017 02:30","9062","9508"
"09.12.2017 02:30 - 09.12.2017 02:45","8975","9439"
"09.12.2017 02:45 - 09.12.2017 03:00","8898","9349"
"09.12.2017 03:00 - 09.12.2017 03:15","8834","9253"
"09.12.2017 03:15 - 09.12.2017 03:30","8788","9129"
"09.12.2017 03:30 - 09.12.2017 03:45","8714","9034"
"09.12.2017 03:45 - 09.12.2017 04:00","8717","9043"
"09.12.2017 04:00 - 09.12.2017 04:15","8677","9105"
"09.12.2017 04:15 - 09.12.2017 04:30","8704","8900"
"09.12.2017 04:30 - 09.12.2017 04:45","8665","8899"
"09.12.2017 04:45 - 09.12.2017 05:00","8646","8981"
"09.12.2017 05:00 - 09.12.2017 05:15","8727","9003"
"09.12.2017 05:15 - 09.12.2017 05:30","8751","8971"
"09.12.2017 05:30 - 09.12.2017 05:45","8749","9071"
"09.12.2017 05:45 - 09.12.2017 06:00","8818","9173"
"09.12.2017 06:00 - 09.12.2017 06:15","8996","9303"
"09.12.2017 06:15 - 09.12.2017 06:30","9124","9275"
"09.12.2017 06:30 - 09.12.2017 06:45","9196","9335"
"09.12.2017 06:45 - 09.12.2017 07:00","9304","9523"
"09.12.2017 07:00 - 09.12.2017 07:15","9372","9536"
"09.12.2017 07:15 - 09.12.2017 07:30","9441","9626"
"09.12.2017 07:30 - 09.12.2017 07:45","9605","9702"
"09.12.2017 07:45 - 09.12.2017 08:00","9719","9772"
"09.12.2017 08:00 - 09.12.2017 08:15","9946","10062"
"09.12.2017 08:15 - 09.12.2017 08:30","10088","10109"
"09.12.2017 08:30 - 09.12.2017 08:45","10254","10291"
"09.12.2017 08:45 - 09.12.2017 09:00","10342","10426"
"09.12.2017 09:00 - 09.12.2017 09:15","10447","10512"
"09.12.2017 09:15 - 09.12.2017 09:30","10576","10786"
"09.12.2017 09:30 - 09.12.2017 09:45","10686","10910"
"09.12.2017 09:45 - 09.12.2017 10:00","10764","10964"
"09.12.2017 10:00 - 09.12.2017 10:15","10807","10969"
"09.12.2017 10:15 - 09.12.2017 10:30","10869","11000"
"09.12.2017 10:30 - 09.12.2017 10:45","10816","11031"
"09.12.2017 10:45 - 09.12.2017 11:00","10841","10997"
"09.12.2017 11:00 - 09.12.2017 11:15","10871","10875"
"09.12.2017 11:15 - 09.12.2017 11:30","10934","10940"
"09.12.2017 11:30 - 09.12.2017 11:45","11091","11013"
"09.12.2017 11:45 - 09.12.2017 12:00","11077","11209"
"09.12.2017 12:00 - 09.12.2017 12:15","11069","11040"
"09.12.2017 12:15 - 09.12.2017 12:30","11015","11094"
"09.12.2017 12:30 - 09.12.2017 12:45","10939","10996"
"09.12.2017 12:45 - 09.12.2017 13:00","10848","10883"
"09.12.2017 13:00 - 09.12.2017 13:15","10843","10797"
"09.12.2017 13:15 - 09.12.2017 13:30","10753","10743"
"09.12.2017 13:30 - 09.12.2017 13:45","10761","10804"
"09.12.2017 13:45 - 09.12.2017 14:00","10713","10737"
"09.12.2017 14:00 - 09.12.2017 14:15","10580","10690"
"09.12.2017 14:15 - 09.12.2017 14:30","10619","10692"
"09.12.2017 14:30 - 09.12.2017 14:45","10599","10590"
"09.12.2017 14:45 - 09.12.2017 15:00","10531","10485"
"09.12.2017 15:00 - 09.12.2017 15:15","10566","10484"
"09.12.2017 15:15 - 09.12.2017 15:30","10584","10538"
"09.12.2017 15:30 - 09.12.2017 15:45","10576","10571"
"09.12.2017 15:45 - 09.12.2017 16:00","10538","10608"
"09.12.2017 16:00 - 09.12.2017 16:15","10676","10654"
"09.12.2017 16:15 - 09.12.2017 16:30","10684","10850"
"09.12.2017 16:30 - 09.12.2017 16:45","10812","10861"
"09.12.2017 16:45 - 09.12.2017 17:00","10945","11109"
"09.12.2017 17:00 - 09.12.2017 17:15","11177","11329"
"09.12.2017 17:15 - 09.12.2017 17:30","11302","11447"
"09.12.2017 17:30 - 09.12.2017 17:45","11432","11490"
"09.12.2017 17:45 - 09.12.2017 18:00","11397","11548"
"09.12.2017 18:00 - 09.12.2017 18:15","11406","11504"
"09.12.2017 18:15 - 09.12.2017 18:30","11415","11319"
"09.12.2017 18:30 - 09.12.2017 18:45","11341","11090"
"09.12.2017 18:45 - 09.12.2017 19:00","11265","11043"
"09.12.2017 19:00 - 09.12.2017 19:15","11136","11081"
"09.12.2017 19:15 - 09.12.2017 19:30","11075","10928"
"09.12.2017 19:30 - 09.12.2017 19:45","10950","10871"
"09.12.2017 19:45 - 09.12.2017 20:00","10838","10664"
"09.12.2017 20:00 - 09.12.2017 20:15","10649","10447"
"09.12.2017 20:15 - 09.12.2017 20:30","10495","10352"
"09.12.2017 20:30 - 09.12.2017 20:45","10400","10270"
"09.12.2017 20:45 - 09.12.2017 21:00","10295","10269"
"09.12.2017 21:00 - 09.12.2017 21:15","10156","10182"
"09.12.2017 21:15 - 09.12.2017 21:30","10086","10129"
"09.12.2017 21:30 - 09.12.2017 21:45","9937","10059"
"09.12.2017 21:45 - 09.12.2017 22:00","9882","9930"
"09.12.2017 22:00 - 09.12.2017 22:15","10013","9980"
"09.12.2017 22:15 - 09.12.2017 22:30","10140","10210"
"09.12.2017 22:30 - 09.12.2017 22:45","10115","10223"
"09.12.2017 22:45 - 09.12.2017 23:00","10085","10195"
"09.12.2017 23:00 - 09.12.2017 23:15","10236","10335"
"09.12.2017 23:15 - 09.12.2017 23:30","10192","10266"
"09.12.2017 23:30 - 09.12.2017 23:45","10032","10171"
"09.12.2017 23:45 - 10.12.2017 00:00","9904","10194"
"10.12.2017 00:00 - 10.12.2017 00:15","9823","10148"
"10.12.2017 00:15 - 10.12.2017 00:30","9689","10087"
"10.12.2017 00:30 - 10.12.2017 00:45","9559","9916"
"10.12.2017 00:45 - 10.12.2017 01:00","9390","9822"
"10.12.2017 01:00 - 10.12.2017 01:15","9360","9787"
"10.12.2017 01:15 - 10.12.2017 01:30","9244","9711"
"10.12.2017 01:30 - 10.12.2017 01:45","9168","9649"
"10.12.2017 01:45 - 10.12.2017 02:00","9025","9483"
"10.12.2017 02:00 - 10.12.2017 02:15","9015","9339"
"10.12.2017 02:15 - 10.12.2017 02:30","8869","9172"
"10.12.2017 02:30 - 10.12.2017 02:45","8871","9103"
"10.12.2017 02:45 - 10.12.2017 03:00","8830","9020"
"10.12.2017 03:00 - 10.12.2017 03:15","8802","9006"
"10.12.2017 03:15 - 10.12.2017 03:30","8720","8853"
"10.12.2017 03:30 - 10.12.2017 03:45","8631","8847"
"10.12.2017 03:45 - 10.12.2017 04:00","8582","8798"
"10.12.2017 04:00 - 10.12.2017 04:15","8595","8674"
"10.12.2017 04:15 - 10.12.2017 04:30","8583","8748"
"10.12.2017 04:30 - 10.12.2017 04:45","8586","8808"
"10.12.2017 04:45 - 10.12.2017 05:00","8565","8844"
"10.12.2017 05:00 - 10.12.2017 05:15","8549","8747"
"10.12.2017 05:15 - 10.12.2017 05:30","8601","8808"
"10.12.2017 05:30 - 10.12.2017 05:45","8580","8689"
"10.12.2017 05:45 - 10.12.2017 06:00","8610","8931"
"10.12.2017 06:00 - 10.12.2017 06:15","8712","8870"
"10.12.2017 06:15 - 10.12.2017 06:30","8728","8923"
"10.12.2017 06:30 - 10.12.2017 06:45","8831","8900"
"10.12.2017 06:45 - 10.12.2017 07:00","8806","8870"
"10.12.2017 07:00 - 10.12.2017 07:15","8847","8870"
"10.12.2017 07:15 - 10.12.2017 07:30","8846","8927"
"10.12.2017 07:30 - 10.12.2017 07:45","8985","9038"
"10.12.2017 07:45 - 10.12.2017 08:00","8987","9039"
"10.12.2017 08:00 - 10.12.2017 08:15","9210","9226"
"10.12.2017 08:15 - 10.12.2017 08:30","9281","9403"
"10.12.2017 08:30 - 10.12.2017 08:45","9381","9540"
"10.12.2017 08:45 - 10.12.2017 09:00","9552","9661"
"10.12.2017 09:00 - 10.12.2017 09:15","9684","9929"
"10.12.2017 09:15 - 10.12.2017 09:30","9832","10295"
"10.12.2017 09:30 - 10.12.2017 09:45","9975","10624"
"10.12.2017 09:45 - 10.12.2017 10:00","10027","10854"
"10.12.2017 10:00 - 10.12.2017 10:15","10251","11054"
"10.12.2017 10:15 - 10.12.2017 10:30","10275","11269"
"10.12.2017 10:30 - 10.12.2017 10:45","10386","11363"
"10.12.2017 10:45 - 10.12.2017 11:00","10450","11476"
"10.12.2017 11:00 - 10.12.2017 11:15","10506","11410"
"10.12.2017 11:15 - 10.12.2017 11:30","10608","11727"
"10.12.2017 11:30 - 10.12.2017 11:45","10686","11828"
"10.12.2017 11:45 - 10.12.2017 12:00","10761","11884"
"10.12.2017 12:00 - 10.12.2017 12:15","10798","11825"
"10.12.2017 12:15 - 10.12.2017 12:30","10766","11765"
"10.12.2017 12:30 - 10.12.2017 12:45","10714","11686"
"10.12.2017 12:45 - 10.12.2017 13:00","10624","11762"
"10.12.2017 13:00 - 10.12.2017 13:15","10570","11540"
"10.12.2017 13:15 - 10.12.2017 13:30","10505","11246"
"10.12.2017 13:30 - 10.12.2017 13:45","10455","11241"
"10.12.2017 13:45 - 10.12.2017 14:00","10331","11164"
"10.12.2017 14:00 - 10.12.2017 14:15","10162","11000"
"10.12.2017 14:15 - 10.12.2017 14:30","10195","10959"
"10.12.2017 14:30 - 10.12.2017 14:45","10152","10932"
"10.12.2017 14:45 - 10.12.2017 15:00","10156","10886"
"10.12.2017 15:00 - 10.12.2017 15:15","10025","10730"
"10.12.2017 15:15 - 10.12.2017 15:30","10092","10782"
"10.12.2017 15:30 - 10.12.2017 15:45","10169","10727"
"10.12.2017 15:45 - 10.12.2017 16:00","10124","10628"
"10.12.2017 16:00 - 10.12.2017 16:15","10080","10703"
"10.12.2017 16:15 - 10.12.2017 16:30","10195","10781"
"10.12.2017 16:30 - 10.12.2017 16:45","10362","11054"
"10.12.2017 16:45 - 10.12.2017 17:00","10507","11161"
"10.12.2017 17:00 - 10.12.2017 17:15","10707","11403"
"10.12.2017 17:15 - 10.12.2017 17:30","10920","11341"
"10.12.2017 17:30 - 10.12.2017 17:45","11147","11436"
"10.12.2017 17:45 - 10.12.2017 18:00","11147","11494"
"10.12.2017 18:00 - 10.12.2017 18:15","11160","11528"
"10.12.2017 18:15 - 10.12.2017 18:30","11192","11510"
"10.12.2017 18:30 - 10.12.2017 18:45","11130","11501"
"10.12.2017 18:45 - 10.12.2017 19:00","11126","11240"
"10.12.2017 19:00 - 10.12.2017 19:15","11018","11242"
"10.12.2017 19:15 - 10.12.2017 19:30","10975","11163"
"10.12.2017 19:30 - 10.12.2017 19:45","10884","11127"
"10.12.2017 19:45 - 10.12.2017 20:00","10814","11065"
"10.12.2017 20:00 - 10.12.2017 20:15","10720","10950"
"10.12.2017 20:15 - 10.12.2017 20:30","10669","10867"
"10.12.2017 20:30 - 10.12.2017 20:45","10570","10700"
"10.12.2017 20:45 - 10.12.2017 21:00","10458","10589"
"10.12.2017 21:00 - 10.12.2017 21:15","10316","10427"
"10.12.2017 21:15 - 10.12.2017 21:30","10206","10471"
"10.12.2017 21:30 - 10.12.2017 21:45","10063","10420"
"10.12.2017 21:45 - 10.12.2017 22:00","9974","10324"
"10.12.2017 22:00 - 10.12.2017 22:15","10046","10352"
"10.12.2017 22:15 - 10.12.2017 22:30","10143","10453"
"10.12.2017 22:30 - 10.12.2017 22:45","10134","10420"
"10.12.2017 22:45 - 10.12.2017 23:00","10117","10392"
"10.12.2017 23:00 - 10.12.2017 23:15","10200","10606"
"10.12.2017 23:15 - 10.12.2017 23:30","10086","10472"
"10.12.2017 23:30 - 10.12.2017 23:45","9905","10375"
"10.12.2017 23:45 - 11.12.2017 00:00","9793","10213"
"11.12.2017 00:00 - 11.12.2017 00:15","9712","10105"
"11.12.2017 00:15 - 11.12.2017 00:30","9590","10008"
"11.12.2017 00:30 - 11.12.2017 00:45","9466","9943"
"11.12.2017 00:45 - 11.12.2017 01:00","9269","9871"
"11.12.2017 01:00 - 11.12.2017 01:15","9347","9877"
"11.12.2017 01:15 - 11.12.2017 01:30","9203","9798"
"11.12.2017 01:30 - 11.12.2017 01:45","9135","9631"
"11.12.2017 01:45 - 11.12.2017 02:00","8999","9699"
"11.12.2017 02:00 - 11.12.2017 02:15","8817","9557"
"11.12.2017 02:15 - 11.12.2017 02:30","8852","9534"
"11.12.2017 02:30 - 11.12.2017 02:45","8766","9358"
"11.12.2017 02:45 - 11.12.2017 03:00","8752","9373"
"11.12.2017 03:00 - 11.12.2017 03:15","8706","9379"
"11.12.2017 03:15 - 11.12.2017 03:30","8622","9373"
"11.12.2017 03:30 - 11.12.2017 03:45","8662","9246"
"11.12.2017 03:45 - 11.12.2017 04:00","8635","9231"
"11.12.2017 04:00 - 11.12.2017 04:15","8763","9168"
"11.12.2017 04:15 - 11.12.2017 04:30","8820","9065"
"11.12.2017 04:30 - 11.12.2017 04:45","8775","9100"
"11.12.2017 04:45 - 11.12.2017 05:00","8844","9043"
"11.12.2017 05:00 - 11.12.2017 05:15","9195","9110"
"11.12.2017 05:15 - 11.12.2017 05:30","9279","9350"
"11.12.2017 05:30 - 11.12.2017 05:45","9450","9391"
"11.12.2017 05:45 - 11.12.2017 06:00","9698","9682"
"11.12.2017 06:00 - 11.12.2017 06:15","10206","10022"
"11.12.2017 06:15 - 11.12.2017 06:30","10543","10142"
"11.12.2017 06:30 - 11.12.2017 06:45","10942","10708"
"11.12.2017 06:45 - 11.12.2017 07:00","11199","11070"
"11.12.2017 07:00 - 11.12.2017 07:15","11317","11292"
"11.12.2017 07:15 - 11.12.2017 07:30","11584","11538"
"11.12.2017 07:30 - 11.12.2017 07:45","11823","11849"
"11.12.2017 07:45 - 11.12.2017 08:00","12008","11996"
"11.12.2017 08:00 - 11.12.2017 08:15","12083","12061"
"11.12.2017 08:15 - 11.12.2017 08:30","12029","12244"
"11.12.2017 08:30 - 11.12.2017 08:45","12087","12507"
"11.12.2017 08:45 - 11.12.2017 09:00","12152","12630"
"11.12.2017 09:00 - 11.12.2017 09:15","12328","12673"
"11.12.2017 09:15 - 11.12.2017 09:30","12334","12931"
"11.12.2017 09:30 - 11.12.2017 09:45","12359","13039"
"11.12.2017 09:45 - 11.12.2017 10:00","12450","12969"
"11.12.2017 10:00 - 11.12.2017 10:15","12549","13051"
"11.12.2017 10:15 - 11.12.2017 10:30","12555","13029"
"11.12.2017 10:30 - 11.12.2017 10:45","12556","12991"
"11.12.2017 10:45 - 11.12.2017 11:00","12572","13117"
"11.12.2017 11:00 - 11.12.2017 11:15","12549","13133"
"11.12.2017 11:15 - 11.12.2017 11:30","12637","13104"
"11.12.2017 11:30 - 11.12.2017 11:45","12698","13149"
"11.12.2017 11:45 - 11.12.2017 12:00","12727","13193"
"11.12.2017 12:00 - 11.12.2017 12:15","12502","13012"
"11.12.2017 12:15 - 11.12.2017 12:30","12360","12928"
"11.12.2017 12:30 - 11.12.2017 12:45","12426","12919"
"11.12.2017 12:45 - 11.12.2017 13:00","12419","12933"
"11.12.2017 13:00 - 11.12.2017 13:15","12417","12957"
"11.12.2017 13:15 - 11.12.2017 13:30","12446","12955"
"11.12.2017 13:30 - 11.12.2017 13:45","12455","13238"
"11.12.2017 13:45 - 11.12.2017 14:00","12391","12843"
"11.12.2017 14:00 - 11.12.2017 14:15","12338","13069"
"11.12.2017 14:15 - 11.12.2017 14:30","12320","12984"
"11.12.2017 14:30 - 11.12.2017 14:45","12369","12925"
"11.12.2017 14:45 - 11.12.2017 15:00","12299","12947"
"11.12.2017 15:00 - 11.12.2017 15:15","12339","12862"
"11.12.2017 15:15 - 11.12.2017 15:30","12281","12866"
"11.12.2017 15:30 - 11.12.2017 15:45","12341","12759"
"11.12.2017 15:45 - 11.12.2017 16:00","12367","12735"
"11.12.2017 16:00 - 11.12.2017 16:15","12383","12866"
"11.12.2017 16:15 - 11.12.2017 16:30","12418","12846"
"11.12.2017 16:30 - 11.12.2017 16:45","12461","12989"
"11.12.2017 16:45 - 11.12.2017 17:00","12708","13186"
"11.12.2017 17:00 - 11.12.2017 17:15","12886","13066"
"11.12.2017 17:15 - 11.12.2017 17:30","13049","13087"
"11.12.2017 17:30 - 11.12.2017 17:45","13119","13224"
"11.12.2017 17:45 - 11.12.2017 18:00","13094","13407"
"11.12.2017 18:00 - 11.12.2017 18:15","13105","13405"
"11.12.2017 18:15 - 11.12.2017 18:30","13078","13254"
"11.12.2017 18:30 - 11.12.2017 18:45","13032","13205"
"11.12.2017 18:45 - 11.12.2017 19:00","12908","12957"
"11.12.2017 19:00 - 11.12.2017 19:15","12924","12903"
"11.12.2017 19:15 - 11.12.2017 19:30","12686","12910"
"11.12.2017 19:30 - 11.12.2017 19:45","12395","12656"
"11.12.2017 19:45 - 11.12.2017 20:00","12310","12487"
"11.12.2017 20:00 - 11.12.2017 20:15","12244","12476"
"11.12.2017 20:15 - 11.12.2017 20:30","12061","12253"
"11.12.2017 20:30 - 11.12.2017 20:45","11962","12164"
"11.12.2017 20:45 - 11.12.2017 21:00","11658","11956"
"11.12.2017 21:00 - 11.12.2017 21:15","11457","11919"
"11.12.2017 21:15 - 11.12.2017 21:30","11301","11776"
"11.12.2017 21:30 - 11.12.2017 21:45","11134","11627"
"11.12.2017 21:45 - 11.12.2017 22:00","10898","11460"
"11.12.2017 22:00 - 11.12.2017 22:15","11013","11577"
"11.12.2017 22:15 - 11.12.2017 22:30","11141","11727"
"11.12.2017 22:30 - 11.12.2017 22:45","11199","11763"
"11.12.2017 22:45 - 11.12.2017 23:00","11125","11555"
"11.12.2017 23:00 - 11.12.2017 23:15","11184","11723"
"11.12.2017 23:15 - 11.12.2017 23:30","11063","11625"
"11.12.2017 23:30 - 11.12.2017 23:45","10857","11331"
"11.12.2017 23:45 - 12.12.2017 00:00","10637","11193"
"12.12.2017 00:00 - 12.12.2017 00:15","10351","10990"
"12.12.2017 00:15 - 12.12.2017 00:30","10288","11035"
"12.12.2017 00:30 - 12.12.2017 00:45","10170","10858"
"12.12.2017 00:45 - 12.12.2017 01:00","10028","10790"
"12.12.2017 01:00 - 12.12.2017 01:15","9891","10838"
"12.12.2017 01:15 - 12.12.2017 01:30","9768","10664"
"12.12.2017 01:30 - 12.12.2017 01:45","9685","10470"
"12.12.2017 01:45 - 12.12.2017 02:00","9590","10130"
"12.12.2017 02:00 - 12.12.2017 02:15","9520","10431"
"12.12.2017 02:15 - 12.12.2017 02:30","9447","10426"
"12.12.2017 02:30 - 12.12.2017 02:45","9426","10211"
"12.12.2017 02:45 - 12.12.2017 03:00","9315","9797"
"12.12.2017 03:00 - 12.12.2017 03:15","9381","10080"
"12.12.2017 03:15 - 12.12.2017 03:30","9323","10311"
"12.12.2017 03:30 - 12.12.2017 03:45","9299","10053"
"12.12.2017 03:45 - 12.12.2017 04:00","9309","9835"
"12.12.2017 04:00 - 12.12.2017 04:15","9241","9819"
"12.12.2017 04:15 - 12.12.2017 04:30","9280","9790"
"12.12.2017 04:30 - 12.12.2017 04:45","9291","9864"
"12.12.2017 04:45 - 12.12.2017 05:00","9377","10163"
"12.12.2017 05:00 - 12.12.2017 05:15","9615","10061"
"12.12.2017 05:15 - 12.12.2017 05:30","9761","10106"
"12.12.2017 05:30 - 12.12.2017 05:45","9912","10506"
"12.12.2017 05:45 - 12.12.2017 06:00","10078","10832"
"12.12.2017 06:00 - 12.12.2017 06:15","10409","11313"
"12.12.2017 06:15 - 12.12.2017 06:30","10791","11213"
"12.12.2017 06:30 - 12.12.2017 06:45","11119","11248"
"12.12.2017 06:45 - 12.12.2017 07:00","11409","11516"
"12.12.2017 07:00 - 12.12.2017 07:15","11553","11789"
"12.12.2017 07:15 - 12.12.2017 07:30","11824","12182"
"12.12.2017 07:30 - 12.12.2017 07:45","12035","12515"
"12.12.2017 07:45 - 12.12.2017 08:00","12144","12627"
"12.12.2017 08:00 - 12.12.2017 08:15","12252","12627"
"12.12.2017 08:15 - 12.12.2017 08:30","12218","12827"
"12.12.2017 08:30 - 12.12.2017 08:45","12233","12890"
"12.12.2017 08:45 - 12.12.2017 09:00","12309","12873"
"12.12.2017 09:00 - 12.12.2017 09:15","12416","12815"
"12.12.2017 09:15 - 12.12.2017 09:30","12417","12604"
"12.12.2017 09:30 - 12.12.2017 09:45","12492","12734"
"12.12.2017 09:45 - 12.12.2017 10:00","12489","12709"
"12.12.2017 10:00 - 12.12.2017 10:15","12450","12735"
"12.12.2017 10:15 - 12.12.2017 10:30","12425","12694"
"12.12.2017 10:30 - 12.12.2017 10:45","12433","12738"
"12.12.2017 10:45 - 12.12.2017 11:00","12480","12716"
"12.12.2017 11:00 - 12.12.2017 11:15","12480","12715"
"12.12.2017 11:15 - 12.12.2017 11:30","12499","12958"
"12.12.2017 11:30 - 12.12.2017 11:45","12521","12996"
"12.12.2017 11:45 - 12.12.2017 12:00","12484","12899"
"12.12.2017 12:00 - 12.12.2017 12:15","12353","12835"
"12.12.2017 12:15 - 12.12.2017 12:30","12197","12596"
"12.12.2017 12:30 - 12.12.2017 12:45","12247","12672"
"12.12.2017 12:45 - 12.12.2017 13:00","12303","12752"
"12.12.2017 13:00 - 12.12.2017 13:15","12322","12890"
"12.12.2017 13:15 - 12.12.2017 13:30","12364","12871"
"12.12.2017 13:30 - 12.12.2017 13:45","12363","12932"
"12.12.2017 13:45 - 12.12.2017 14:00","12283","12905"
"12.12.2017 14:00 - 12.12.2017 14:15","12251","12716"
"12.12.2017 14:15 - 12.12.2017 14:30","12244","12679"
"12.12.2017 14:30 - 12.12.2017 14:45","12247","12630"
"12.12.2017 14:45 - 12.12.2017 15:00","12212","12454"
"12.12.2017 15:00 - 12.12.2017 15:15","12253","12454"
"12.12.2017 15:15 - 12.12.2017 15:30","12233","12529"
"12.12.2017 15:30 - 12.12.2017 15:45","12287","12543"
"12.12.2017 15:45 - 12.12.2017 16:00","12294","12483"
"12.12.2017 16:00 - 12.12.2017 16:15","12235","12366"
"12.12.2017 16:15 - 12.12.2017 16:30","12350","12552"
"12.12.2017 16:30 - 12.12.2017 16:45","12430","12609"
"12.12.2017 16:45 - 12.12.2017 17:00","12642","12960"
"12.12.2017 17:00 - 12.12.2017 17:15","12825","13100"
"12.12.2017 17:15 - 12.12.2017 17:30","12928","13145"
"12.12.2017 17:30 - 12.12.2017 17:45","13016","13259"
"12.12.2017 17:45 - 12.12.2017 18:00","13005","13230"
"12.12.2017 18:00 - 12.12.2017 18:15","13010","13120"
"12.12.2017 18:15 - 12.12.2017 18:30","12928","13162"
"12.12.2017 18:30 - 12.12.2017 18:45","12846","13057"
"12.12.2017 18:45 - 12.12.2017 19:00","12735","12877"
"12.12.2017 19:00 - 12.12.2017 19:15","12581","12694"
"12.12.2017 19:15 - 12.12.2017 19:30","12427","12529"
"12.12.2017 19:30 - 12.12.2017 19:45","12309","12470"
"12.12.2017 19:45 - 12.12.2017 20:00","12167","12372"
"12.12.2017 20:00 - 12.12.2017 20:15","12015","12260"
"12.12.2017 20:15 - 12.12.2017 20:30","11821","12038"
"12.12.2017 20:30 - 12.12.2017 20:45","11712","11987"
"12.12.2017 20:45 - 12.12.2017 21:00","11512","11705"
"12.12.2017 21:00 - 12.12.2017 21:15","11385","11629"
"12.12.2017 21:15 - 12.12.2017 21:30","11278","11338"
