;Bid;WeekAheadConfidence10;WeekAheadConfidence90;WeekAheadForecast;DayAheadConfidence10;DayAheadConfidence90;DayAheadForecast;MostRecentConfidence10;MostRecentConfidence90;MostRecentForecast;Realtime;LoadFactor;MonitoredCapacity
2017-06-23 10:30:00+02:00;;0.69;528.93;248.9;13.44;272.02;139.66;103.68;492.54;297.33;318.93;0.31;1044.71
2017-06-23 10:45:00+02:00;;0.68;528.34;247.48;15.46;302.58;154.98;116.88;546.8;331.58;338.28;0.32;1044.71
2017-06-23 11:00:00+02:00;;0.68;528.54;246.58;32.4;352.22;188.34;153.28;599.89;370.47;342.4;0.33;1044.71
2017-06-23 11:15:00+02:00;;0.69;529.52;246.23;64.24;420.95;239.75;170.74;627.55;394.78;378.78;0.36;1044.71
2017-06-23 11:30:00+02:00;;0.7;530.5;245.87;96.08;489.66;291.17;188.2;655.22;419.09;408.53;0.39;1044.71
2017-06-23 11:45:00+02:00;;0.71;531.49;245.51;127.91;558.39;342.58;205.66;682.88;443.4;447.41;0.43;1044.71
2017-06-23 12:00:00+02:00;;0.72;533.34;245.73;162.68;620.52;391.59;224.83;709.49;467.18;480.52;0.46;1044.71
2017-06-23 12:15:00+02:00;;0.75;536.05;246.54;200.37;676.06;438.21;245.71;735.03;490.43;533.32;0.51;1044.71
2017-06-23 12:30:00+02:00;;0.77;538.77;247.34;238.06;731.61;484.83;266.59;760.58;513.68;587.41;0.56;1044.71
2017-06-23 12:45:00+02:00;;0.8;541.48;248.14;275.75;787.16;531.45;287.47;786.13;536.94;605.34;0.58;1044.71
2017-06-23 13:00:00+02:00;;0.82;545.15;249.57;316.28;825.07;570.68;312.42;809.17;560.93;628.05;0.6;1044.71
2017-06-23 13:15:00+02:00;;0.86;549.76;251.62;359.66;845.36;602.51;341.43;829.7;585.66;691.31;0.66;1044.71
2017-06-23 13:30:00+02:00;;0.89;554.36;253.68;403.03;865.64;634.34;370.44;850.23;610.39;779.24;0.75;1044.71
2017-06-23 13:45:00+02:00;;0.92;558.97;255.73;446.4;885.93;666.17;399.45;870.76;635.12;828.55;0.79;1044.71
2017-06-23 14:00:00+02:00;;0.96;564.5;258.41;483.69;902.54;693.13;426.97;885.62;656.29;836.85;0.8;1044.71
2017-06-23 14:15:00+02:00;;0.99;570.96;261.7;514.89;915.47;715.24;452.99;894.82;673.9;845.95;0.81;1044.71
2017-06-23 14:30:00+02:00;;1.03;577.42;265.0;546.1;928.4;737.34;479.0;904.02;691.51;852.27;0.82;1044.71
2017-06-23 14:45:00+02:00;;1.07;583.88;268.29;577.3;941.33;759.44;505.02;913.22;709.12;855.99;0.82;1044.71
2017-06-23 15:00:00+02:00;;1.11;590.89;272.0;601.32;950.41;776.0;533.81;923.49;728.65;864.88;0.83;1044.71
2017-06-23 15:15:00+02:00;;1.14;598.48;276.12;618.18;955.66;787.01;565.37;934.84;750.1;873.86;0.84;1044.71
2017-06-23 15:30:00+02:00;;1.18;606.07;280.24;635.03;960.9;798.02;596.93;946.18;771.55;872.15;0.83;1044.71
2017-06-23 15:45:00+02:00;;1.22;613.66;284.37;651.89;966.15;809.04;628.49;957.52;793.0;880.86;0.84;1044.71
2017-06-23 16:00:00+02:00;;1.25;621.35;288.65;664.81;970.71;817.98;669.33;997.99;822.22;882.17;0.84;1044.71
2017-06-23 16:15:00+02:00;;1.29;629.15;293.1;673.8;974.59;824.87;686.65;995.42;829.84;877.69;0.84;1044.71
2017-06-23 16:30:00+02:00;;1.32;636.94;297.55;682.79;978.47;831.75;703.97;992.84;837.47;885.9;0.85;1044.71
2017-06-23 16:45:00+02:00;;1.35;644.74;302.0;691.78;982.35;838.63;721.29;990.27;845.09;881.29;0.84;1044.71
2017-06-23 17:00:00+02:00;;1.38;652.18;306.36;702.24;982.45;844.02;733.17;987.44;850.26;883.12;0.85;1044.71
2017-06-23 17:15:00+02:00;;1.41;659.26;310.61;714.18;978.75;847.91;739.63;984.35;852.97;883.63;0.85;1044.71
2017-06-23 17:30:00+02:00;;1.43;666.34;314.88;726.12;975.05;851.8;746.09;981.26;855.69;887.37;0.85;1044.71
2017-06-23 17:45:00+02:00;;1.46;673.42;319.13;738.05;971.35;855.69;752.54;978.16;858.4;884.51;0.85;1044.71
2017-06-23 18:00:00+02:00;;1.48;679.67;323.05;746.62;969.46;858.9;757.07;975.33;860.21;881.71;0.84;1044.71
2017-06-23 18:15:00+02:00;;1.5;685.1;326.61;751.83;969.39;861.42;759.67;972.77;861.11;876.55;0.84;1044.71
2017-06-23 18:30:00+02:00;;1.51;690.52;330.17;757.03;969.32;863.94;762.28;970.2;862.01;878.56;0.84;1044.71
2017-06-23 18:45:00+02:00;;1.53;695.95;333.73;762.23;969.25;866.46;764.88;967.64;862.91;872.19;0.83;1044.71
2017-06-23 19:00:00+02:00;;1.56;700.08;336.69;765.42;969.03;867.88;766.92;964.2;862.92;875.77;0.84;1044.71
2017-06-23 19:15:00+02:00;;1.62;702.92;339.04;766.59;968.66;868.18;768.4;959.89;862.04;870.73;0.83;1044.71
2017-06-23 19:30:00+02:00;;1.68;705.77;341.39;767.76;968.28;868.49;769.88;955.58;861.15;874.96;0.84;1044.71
2017-06-23 19:45:00+02:00;;1.73;708.61;343.74;768.93;967.91;868.79;771.36;951.27;860.27;874.84;0.84;1044.71
2017-06-23 20:00:00+02:00;;1.82;709.85;345.3;768.19;966.93;867.96;771.6;948.69;859.47;887.42;0.85;1044.71
2017-06-23 20:15:00+02:00;;1.94;709.48;346.07;765.53;965.34;865.98;770.61;947.87;858.76;881.27;0.84;1044.71
2017-06-23 20:30:00+02:00;;2.06;709.11;346.85;762.86;963.75;863.99;769.63;947.04;858.04;872.52;0.84;1044.71
2017-06-23 20:45:00+02:00;;2.18;708.74;347.63;760.2;962.16;862.01;768.64;946.22;857.33;863.07;0.83;1044.71
2017-06-23 21:00:00+02:00;;2.53;707.02;347.65;756.89;961.5;859.98;710.5;961.0;798.96;853.13;0.82;1044.71
2017-06-23 21:15:00+02:00;;3.09;703.93;346.92;752.92;961.75;857.9;715.62;960.05;805.74;848.92;0.81;1044.71
2017-06-23 21:30:00+02:00;;3.66;700.85;346.19;748.95;962.01;855.82;720.74;959.1;812.53;861.1;0.82;1044.71
2017-06-23 21:45:00+02:00;;4.23;697.77;345.46;744.99;962.27;853.74;725.86;958.15;819.31;854.47;0.82;1044.71
2017-06-23 22:00:00+02:00;;4.82;693.93;344.29;738.65;965.17;852.22;725.51;958.91;823.16;839.76;0.8;1044.71
2017-06-23 22:15:00+02:00;;5.44;689.35;342.69;729.93;970.72;851.26;719.69;961.37;824.07;824.02;0.79;1044.71
2017-06-23 22:30:00+02:00;;6.05;684.77;341.08;721.22;976.28;850.3;713.88;963.83;824.97;808.49;0.77;1044.71
2017-06-23 22:45:00+02:00;;6.67;680.19;339.47;712.5;981.83;849.34;708.06;966.29;825.88;782.23;0.75;1044.71
2017-06-23 23:00:00+02:00;;7.25;675.37;337.65;703.06;986.3;847.41;696.57;967.23;823.15;778.32;0.75;1044.71
2017-06-23 23:15:00+02:00;;7.78;670.32;335.61;692.89;989.69;844.5;679.41;966.64;816.79;783.18;0.75;1044.71
2017-06-23 23:30:00+02:00;;8.32;665.28;333.57;682.71;993.09;841.59;662.25;966.05;810.43;774.27;0.74;1044.71
2017-06-23 23:45:00+02:00;;8.86;660.23;331.53;672.54;996.48;838.68;645.09;965.46;804.07;787.29;0.75;1044.71
2017-06-24 00:00:00+02:00;;29.26;708.39;368.1;705.25;978.64;841.95;631.37;967.42;799.53;803.8;0.77;1044.71
2017-06-24 00:15:00+02:00;;28.48;704.17;365.25;689.28;983.93;836.61;621.09;971.94;796.79;817.81;0.78;1044.71
2017-06-24 00:30:00+02:00;;27.7;699.94;362.4;673.31;989.23;831.27;610.82;976.45;794.06;800.05;0.77;1044.71
2017-06-24 00:45:00+02:00;;26.92;695.72;359.55;657.34;994.52;825.94;600.55;980.97;791.33;796.71;0.76;1044.71
2017-06-24 01:00:00+02:00;;26.43;692.22;357.32;647.57;1000.27;824.11;592.04;984.81;789.05;816.08;0.78;1044.71
2017-06-24 01:15:00+02:00;;26.23;689.46;355.71;643.99;1006.46;825.78;585.31;987.99;787.22;803.37;0.77;1044.71
2017-06-24 01:30:00+02:00;;26.03;686.7;354.09;640.42;1012.66;827.46;578.58;991.17;785.38;792.51;0.76;1044.71
2017-06-24 01:45:00+02:00;;25.83;683.94;352.47;636.84;1018.85;829.14;571.84;994.35;783.55;794.73;0.76;1044.71
2017-06-24 02:00:00+02:00;;26.09;682.15;351.71;632.13;1022.18;829.0;568.61;997.59;783.71;812.26;0.78;1044.71
2017-06-24 02:15:00+02:00;;26.81;681.34;351.82;626.27;1022.64;827.06;568.88;1000.89;785.87;817.77;0.78;1044.71
2017-06-24 02:30:00+02:00;;27.54;680.52;351.93;620.42;1023.09;825.13;569.15;1004.19;788.02;818.19;0.78;1044.71
2017-06-24 02:45:00+02:00;;28.27;679.71;352.03;614.56;1023.55;823.18;569.42;1007.48;790.17;820.35;0.79;1044.71
2017-06-24 03:00:00+02:00;;29.29;679.88;352.82;609.08;1023.22;820.81;567.29;1008.42;789.74;808.51;0.77;1044.71
2017-06-24 03:15:00+02:00;;30.59;681.03;354.3;603.98;1022.1;818.01;562.75;1007.0;786.71;812.37;0.78;1044.71
2017-06-24 03:30:00+02:00;;31.9;682.18;355.78;598.88;1020.97;815.2;558.22;1005.58;783.69;822.02;0.79;1044.71
2017-06-24 03:45:00+02:00;;33.21;683.33;357.25;593.77;1019.85;812.39;553.69;1004.17;780.66;832.63;0.8;1044.71
2017-06-24 04:00:00+02:00;;34.72;685.28;359.22;590.87;1019.01;810.83;549.18;1002.52;777.37;840.16;0.8;1044.71
2017-06-24 04:15:00+02:00;;36.42;688.05;361.67;590.16;1018.48;810.49;544.69;1000.65;773.82;850.03;0.81;1044.71
2017-06-24 04:30:00+02:00;;38.12;690.81;364.12;589.45;1017.94;810.16;540.2;998.78;770.26;848.62;0.81;1044.71
2017-06-24 04:45:00+02:00;;39.83;693.58;366.57;588.74;1017.4;809.83;535.71;996.91;766.71;845.79;0.81;1044.71
2017-06-24 05:00:00+02:00;;41.64;696.85;369.23;586.77;1016.87;808.15;535.92;995.4;765.86;853.62;0.82;1044.71
2017-06-24 05:15:00+02:00;;43.56;700.63;372.08;583.54;1016.35;805.1;540.84;994.25;767.71;851.51;0.82;1044.71
2017-06-24 05:30:00+02:00;;45.48;704.41;374.94;580.32;1015.82;802.06;545.75;993.1;769.57;843.95;0.81;1044.71
2017-06-24 05:45:00+02:00;;47.4;708.19;377.79;577.1;1015.3;799.02;550.66;991.95;771.42;829.15;0.79;1044.71
2017-06-24 06:00:00+02:00;;49.03;712.24;380.64;576.06;1014.74;797.43;547.28;971.36;759.85;845.87;0.81;1044.71
2017-06-24 06:15:00+02:00;;50.37;716.57;383.47;577.2;1014.16;797.29;555.8;971.81;765.49;837.22;0.8;1044.71
2017-06-24 06:30:00+02:00;;51.71;720.91;386.31;578.34;1013.57;797.14;564.33;972.27;771.13;828.97;0.79;1044.71
2017-06-24 06:45:00+02:00;;53.05;725.23;389.14;579.48;1012.98;797.0;572.86;972.72;776.77;827.91;0.79;1044.71
2017-06-24 07:00:00+02:00;;53.96;729.54;391.75;580.4;1010.22;795.8;579.79;975.26;782.12;812.73;0.78;1044.71
2017-06-24 07:15:00+02:00;;54.46;733.8;394.13;581.1;1005.29;793.54;585.13;979.9;787.19;804.84;0.77;1044.71
2017-06-24 07:30:00+02:00;;54.95;738.08;396.51;581.8;1000.35;791.29;590.47;984.53;792.25;802.46;0.77;1044.71
2017-06-24 07:45:00+02:00;;55.44;742.35;398.89;582.5;995.41;789.03;595.82;989.17;797.32;752.07;0.72;1044.71
2017-06-24 08:00:00+02:00;;55.4;746.41;400.9;583.1;991.58;787.34;597.82;992.24;799.53;728.13;0.7;1044.71
2017-06-24 08:15:00+02:00;;54.81;750.25;402.53;583.59;988.84;786.21;596.49;993.77;798.88;717.84;0.69;1044.71
2017-06-24 08:30:00+02:00;;54.22;754.1;404.16;584.08;986.1;785.09;595.16;995.3;798.23;707.88;0.68;1044.71
2017-06-24 08:45:00+02:00;;53.63;757.95;405.79;584.57;983.36;783.96;593.83;996.82;797.58;719.76;0.69;1044.71
2017-06-24 09:00:00+02:00;;52.68;761.61;407.14;587.01;983.1;785.06;593.24;996.29;796.42;731.07;0.7;1044.71
2017-06-24 09:15:00+02:00;;51.36;765.09;408.23;591.41;985.31;788.36;593.4;993.68;794.73;701.99;0.67;1044.71
2017-06-24 09:30:00+02:00;;50.05;768.57;409.3;595.8;987.51;791.66;593.56;991.08;793.04;686.1;0.66;1044.71
2017-06-24 09:45:00+02:00;;48.73;772.04;410.38;600.19;989.72;794.96;593.72;988.47;791.35;689.04;0.66;1044.71
2017-06-24 10:00:00+02:00;;47.36;775.36;411.36;604.19;991.21;797.7;596.56;987.73;792.16;707.71;0.68;1044.71
2017-06-24 10:15:00+02:00;;45.92;778.54;412.23;607.79;991.98;799.89;602.08;988.83;795.47;741.26;0.71;1044.71
2017-06-24 10:30:00+02:00;;44.49;781.71;413.1;611.4;992.75;802.07;607.6;989.94;798.78;743.79;0.71;1044.71
2017-06-24 10:45:00+02:00;;43.05;784.88;413.97;615.0;993.52;804.26;613.12;991.05;802.09;722.26;0.69;1044.71
