"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","21.05.2018 21:00 - 21.05.2018 22:00 (CET)","304","n/e","n/e","1438","0","0","n/e","n/e","n/e","279","","4","n/e","n/e","3411","345","n/e","6","198","325","78"
"BZN|BE","21.05.2018 22:00 - 21.05.2018 23:00 (CET)","301","n/e","n/e","1458","0","0","n/e","n/e","n/e","351","","4","n/e","n/e","3413","380","n/e","0","198","173","66"
"BZN|BE","21.05.2018 23:00 - 22.05.2018 00:00 (CET)","295","n/e","n/e","1439","0","0","n/e","n/e","n/e","204","","5","n/e","n/e","3415","408","n/e","0","198","46","64"
"BZN|BE","22.05.2018 00:00 - 22.05.2018 01:00 (CET)","293","n/e","n/e","1641","0","0","n/e","n/e","n/e","26","","6","n/e","n/e","3416","403","n/e","0","199","77","57"
"BZN|BE","22.05.2018 01:00 - 22.05.2018 02:00 (CET)","298","n/e","n/e","1658","0","0","n/e","n/e","n/e","144","","6","n/e","n/e","3419","344","n/e","0","198","34","54"
"BZN|BE","22.05.2018 02:00 - 22.05.2018 03:00 (CET)","295","n/e","n/e","1532","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","3422","326","n/e","0","200","104","51"
"BZN|BE","22.05.2018 03:00 - 22.05.2018 04:00 (CET)","295","n/e","n/e","1683","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","3424","322","n/e","0","200","78","51"
"BZN|BE","22.05.2018 04:00 - 22.05.2018 05:00 (CET)","303","n/e","n/e","1736","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","3424","340","n/e","0","200","27","62"
"BZN|BE","22.05.2018 05:00 - 22.05.2018 06:00 (CET)","303","n/e","n/e","1766","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","3427","374","n/e","0","201","156","54"
"BZN|BE","22.05.2018 06:00 - 22.05.2018 07:00 (CET)","313","n/e","n/e","1913","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","3427","398","n/e","95","202","210","37"
