Timestep,Load,LFS,LFW,ResidualLoad
6589,10862,0.10329474621549421,0.36533602829711975,9791
6590,10773,0.13060255268625706,0.3395654370894391,9661
6591,10689,0.21401009201543486,0.3163213744315311,9342
6592,10439,0.21163550014841198,0.3011622031328954,9130
6593,10262,0.1840308696942713,0.24759979787771602,9152
6594,10358,0.11932324131789848,0.2516422435573522,9458
6595,10618,0.031166518254674976,0.24002021222839817,10038
6596,10479,0.0005936479667557139,0.2228398180899444,10036
6597,10732,0,0.21879737241030825,10299
6598,9876,0,0.23698837796867103,9407
6599,9497,0,0.2450732693279434,9012
6600,9397,0,0.25922182920667003,8884
6601,8780,0,0.2516422435573522,8282
6602,8330,0,0.24810510358767054,7839
6603,7934,0,0.2607377463365336,7418
6604,7648,0,0.23446184941889844,7184
6605,7965,0,0.23951490651844365,7491
6606,8203,0,0.22385042950985345,7760
6607,9104,0,0.17837291561394644,8751
6608,10425,0,0.17433046993431026,10080
6609,10784,0.042149005639655686,0.14401212733703891,10357
6610,10894,0.1792816859602256,0.10864072764022234,10075
6611,10941,0.3351142772336005,0.07579585649317837,9662
6612,11001,0.42416147224695755,0.07074279939363315,9432
6613,10741,0.4473137429504304,0.08135421930267812,9073
6614,10573,0.4805580290887504,0.07933299646286003,8797
6615,10432,0.48411991688928463,0.0808489135927236,8641
6616,10383,0.41347580884535473,0.08489135927235977,8822
6617,10336,0.2986049272781241,0.09802930773117736,9136
6618,10419,0.14574057583852776,0.10358767054067711,9723
6619,10639,0.03383793410507569,0.08842849924204144,10350
6620,10742,0.00029682398337785694,0.08236483072258717,10578
6621,11034,0,0.07933299646286003,10877
6622,10340,0,0.08640727640222334,10169
6623,9915,0,0.0833754421424962,9750
6624,9791,0,0.0833754421424962,9626
6625,9027,0,0.08640727640222334,8856
6626,8508,0,0.07882769075290551,8352
6627,8171,0,0.07023749368367863,8032
6628,7959,0,0.07124810510358767,7818
6629,8020,0,0.07023749368367863,7881
6630,8354,0,0.0717534108135422,8212
6631,9158,0,0.07023749368367863,9019
6632,10392,0,0.07933299646286003,10235
6633,10787,0.024933214603739984,0.08691258211217787,10531
6634,10812,0.12882160878598992,0.08388074785245073,10212
6635,10868,0.2790145443751855,0.06467913087417888,9800
6636,10986,0.40902344909468685,0.04598281960586155,9517
6637,10895,0.42327100029682396,0.04598281960586155,9378
6638,10636,0.40011872959335115,0.03739262253663466,9214
6639,10473,0.4520629266844761,0.032844871147043965,8885
6640,10362,0.42119323241317896,0.029307731177362305,8885
6641,10459,0.3187889581478183,0.02627589691763517,9333
6642,10609,0.170080142475512,0.025265285497726123,9986
6643,10722,0.03977441377263283,0.025770591207680646,10537
6644,10927,0.0005936479667557139,0.026781202627589692,10872
6645,11065,0,0.029813036887316825,11006
6646,10320,0,0.03233956543708944,10256
6647,9836,0,0.05811015664477009,9721
6648,9639,0,0.07680646791308741,9487
6649,8842,0,0.10207175341081354,8640
6650,8512,0,0.14502273875694796,8225
6651,8136,0,0.1733198585144012,7793
6652,8091,0,0.16776149570490145,7759
6653,8039,0,0.15664477008590197,7729
6654,8326,0,0.1414855987872663,8046
